borrower_id,borrower_name,sector,period,ead,pd,lgd,revenue,ebitda,debt,cash,interest_expense,max_leverage_covenant,min_interest_cover_covenant,min_liquidity_covenant
B013,Borrower 013,Consumer,2025-12-31,139322232.00328785,0.012942305281306497,0.2991188589723694,192012186.26845458,27461231.481310457,156507976.37543976,6333164.622925265,12170044.923380842,6.502170900427673,2.456101485786136,6364382.979109355
B013,Borrower 013,Consumer,2026-06-30,143911904.9944093,0.012942305281306497,0.2991188589723694,208667583.60750803,28216354.06340118,162965091.82555237,5733737.147413684,12124124.051434789,6.502170900427673,2.456101485786136,6364382.979109355
B014,Borrower 014,Logistics,2025-12-31,77867973.67223385,0.03594286769552602,0.38096441519251395,163427075.8985291,21438521.234658796,88392703.02439345,16787539.499985885,8254724.733410715,4.934136866044426,2.0475103332539666,8807415.685770923
B014,Borrower 014,Logistics,2026-06-30,74492855.32072613,0.03594286769552602,0.38096441519251395,162141350.26467133,20890388.48763677,91423032.09254691,19221239.661117353,8224975.374212661,4.934136866044426,2.0475103332539666,8807415.685770923
B015,Borrower 015,Consumer,2025-12-31,29418690.48231061,0.026354006175345165,0.30376468831722053,46311183.95468569,12106953.22188928,39242735.965094686,2188881.065089706,3769206.85242841,3.6799267720947237,1.227492421237372,1498558.682478341
B015,Borrower 015,Consumer,2026-06-30,29432006.07891127,0.026354006175345165,0.30376468831722053,35227824.06636502,9411257.091852961,44585356.053654164,1571811.715134495,4859728.061476213,3.6799267720947237,1.227492421237372,1498558.682478341
B016,Borrower 016,Logistics,2025-12-31,79901493.98252796,0.047842448880707954,0.3956918489961173,177500889.60222954,47436927.77267593,103123149.05180554,9190962.18783963,6376851.284097733,2.5330051919642806,1.685698379997443,5713776.538458735
B016,Borrower 016,Logistics,2026-06-30,83118752.7581858,0.047842448880707954,0.3956918489961173,162713594.15048355,29201630.05553713,122197670.23342556,5787860.853677367,10744427.7910849,2.5330051919642806,1.685698379997443,5713776.538458735
B017,Borrower 017,Technology,2025-12-31,162608419.4602225,0.04356671526428108,0.5501502504428951,164364658.44924685,41335255.82264219,188899353.94546515,20295676.12389051,10715808.959332211,5.4252923426944095,1.7006163449304594,6756069.441133991
B017,Borrower 017,Technology,2026-06-30,160435848.20405188,0.04356671526428108,0.5501502504428951,127868091.26262335,30727107.30566484,204649380.42432648,13593454.931072257,14512793.833628817,5.4252923426944095,1.7006163449304594,6756069.441133991
B018,Borrower 018,Manufacturing,2025-12-31,59680254.1696347,0.04106828212250589,0.3649264217516411,78949201.59425819,12906781.07573167,61216519.087222226,5181055.324570273,5965114.923452699,5.6854951296197855,2.303128635405712,6873286.065040918
B018,Borrower 018,Manufacturing,2026-06-30,60842814.35360042,0.04106828212250589,0.3649264217516411,82151601.23691252,13753092.32405664,58270046.236524366,5805206.431586651,5563563.718722181,5.6854951296197855,2.303128635405712,6873286.065040918
B019,Borrower 019,Consumer,2025-12-31,21991202.220713682,0.015305594752835161,0.5856080860681782,43778510.71427791,9419539.46901117,22422111.553170413,5125845.250364287,1215831.396555891,3.6414440042218543,1.9717866058062603,8043616.941665922
B019,Borrower 019,Consumer,2026-06-30,21268332.280373424,0.015305594752835161,0.5856080860681782,48630246.682506725,9214929.847014366,22561434.956954338,4759422.968693785,1319102.72155948,3.6414440042218543,1.9717866058062603,8043616.941665922
B020,Borrower 020,Manufacturing,2025-12-31,91000129.36839055,0.041911491168157185,0.4598577045329143,121691110.06503953,25060423.83653684,96831989.41404574,11282690.21204572,8540210.551415281,5.2814240947530315,1.3556536650514597,2053932.0931009946
B020,Borrower 020,Manufacturing,2026-06-30,94625270.10298444,0.041911491168157185,0.4598577045329143,107279555.23430273,18183404.733711928,111827806.0482289,9041602.956313774,11354672.630538106,5.2814240947530315,1.3556536650514597,2053932.0931009946
B021,Borrower 021,Business Services,2025-12-31,35148064.26059532,0.037842802789906496,0.3841619379720934,68696289.36383162,10999804.00121721,35834720.61200847,3360168.9314413723,2056524.8239079134,4.433382771229905,1.9188909848287699,9425259.88154616
B021,Borrower 021,Business Services,2026-06-30,33807090.3121184,0.037842802789906496,0.3841619379720934,70859729.64482328,11071992.182846624,38615268.38749195,3747690.731870276,2573981.363405372,4.433382771229905,1.9188909848287699,9425259.88154616
B022,Borrower 022,Business Services,2025-12-31,66710743.282076806,0.03907384713813099,0.5388898289187124,173096062.25434086,38108180.73081776,94801214.87363191,17411899.073744576,7992199.190300569,3.142117543753358,1.7961125063381165,4980827.143611039
B022,Borrower 022,Business Services,2026-06-30,65269180.4093693,0.03907384713813099,0.5388898289187124,191467633.98056018,41907475.96276318,87208198.21467637,20878789.216958106,8066132.059637356,3.142117543753358,1.7961125063381165,4980827.143611039
B023,Borrower 023,Business Services,2025-12-31,53044842.80668428,0.007174962740335207,0.33428982031440146,39155515.73684891,11738942.678253647,54735625.19227946,4229383.105421262,2984297.746330011,5.134365194626109,2.2097983228998843,2783838.044916081
B023,Borrower 023,Business Services,2026-06-30,54644048.3332955,0.007174962740335207,0.33428982031440146,41566153.908495486,10897465.020678485,49315559.638881974,3871989.1313237217,2890430.025542981,5.134365194626109,2.2097983228998843,2783838.044916081
B024,Borrower 024,Business Services,2025-12-31,34878969.20249557,0.05735905879839779,0.5432930765293841,62939507.71292993,16796662.98956367,37438548.42310011,7937657.708674901,3608693.1281168014,2.577109320069521,1.462316743934772,2124313.113750788
B024,Borrower 024,Business Services,2026-06-30,33808329.56385282,0.05735905879839779,0.5432930765293841,67765833.89887473,17886812.1759387,39430413.90150195,7513500.219588368,4038032.7226849925,2.577109320069521,1.462316743934772,2124313.113750788
B025,Borrower 025,Industrials,2025-12-31,138449388.84277853,0.0713109283525113,0.4983523997852172,147782845.5106347,43691267.14585347,194258994.53203773,5399990.7609957885,15699127.767561808,4.953927839615282,1.3192373075714574,2651799.0599228707
B025,Borrower 025,Industrials,2026-06-30,144624570.1431838,0.0713109283525113,0.4983523997852172,151914160.65399203,48075188.51511566,197086143.11577237,5787299.401270951,15371221.764863523,4.953927839615282,1.3192373075714574,2651799.0599228707
B026,Borrower 026,Technology,2025-12-31,54954711.278292574,0.043126455383520654,0.39141203675926806,74241673.85264923,15380186.343995918,73811110.39529423,8011268.955505309,7161871.410326338,5.668106253735406,1.354982784057068,2206851.488854888
B026,Borrower 026,Technology,2026-06-30,54453431.489787616,0.043126455383520654,0.39141203675926806,60205611.35224939,11202481.15548171,82830644.25218834,6332016.7372929845,9303951.52748104,5.668106253735406,1.354982784057068,2206851.488854888
B027,Borrower 027,Business Services,2025-12-31,31033097.059103176,0.047934344984158675,0.4480201651511723,125895124.71362148,18852669.09240257,40424634.67743719,10097796.830126164,2979563.742829668,3.2866419544419,2.042333026861573,6871897.508689284
B027,Borrower 027,Business Services,2026-06-30,31072630.880537298,0.047934344984158675,0.4480201651511723,136453127.7023162,19725608.155040275,39521357.33769582,10984421.200813355,2929184.4349511657,3.2866419544419,2.042333026861573,6871897.508689284
B028,Borrower 028,Technology,2025-12-31,224234429.0039463,0.028583801880815093,0.5430838268207739,152607023.92679965,41968249.35361038,238557131.20730922,13801161.341452947,18133623.50091865,6.5771987650016746,1.3506137416358488,1648532.3236564933
B028,Borrower 028,Technology,2026-06-30,229676431.9162565,0.028583801880815093,0.5430838268207739,146418281.98270464,41319446.67164191,229049056.79077983,13137302.482086949,17344088.475027572,6.5771987650016746,1.3506137416358488,1648532.3236564933
B029,Borrower 029,Manufacturing,2025-12-31,116407720.64268596,0.032368952080868936,0.5854502133153403,168891216.41372356,45337253.589119025,158183776.5593165,8180000.817914404,12661349.069875488,4.983603659866557,2.203736358760961,3798653.589286896
B029,Borrower 029,Manufacturing,2026-06-30,116699767.85900718,0.032368952080868936,0.5854502133153403,180699935.24557573,45754519.07778519,160613472.12648568,7388326.379525562,12556421.597730625,4.983603659866557,2.203736358760961,3798653.589286896
B030,Borrower 030,Industrials,2025-12-31,29321550.749811757,0.07927412482447044,0.29955856099907113,49475234.76649325,5763840.653583777,30808979.98172755,7356767.545761732,2396891.5480154273,6.183111898106173,1.7103445305944958,1720443.5528156653
B030,Borrower 030,Industrials,2026-06-30,27986391.265150387,0.07927412482447044,0.29955856099907113,50649897.29447487,5924912.303812024,28563656.4976747,7020401.38817417,2468043.474732025,6.183111898106173,1.7103445305944958,1720443.5528156653
