borrower_id,company_name,sector,country,currency,period,ead,baseline_pd,baseline_lgd,revenue,ebitda,debt,cash,interest_expense,max_leverage,min_interest_cover,min_liquidity,collateral_value,assets
B003,Cedar Manufacturing,Business services,GB,GBP,2026-06-30,30827337.269643,0.041,0.414,77021931.450694,16806004.220216,38507556.003579,5627629.538018,3822257.451223,4.5,1.5,3323702.131498,35314335.147166,54010159.636841
B004,Dale Healthcare,Consumer,GB,GBP,2025-09-30,27667088.362057,0.04,0.41,58778945.342168,10256676.910404,39524411.945796,6323905.911327,3161952.955664,4.5,1.5,3161952.955664,33595750.153927,51381735.529535
B004,Dale Healthcare,Consumer,GB,GBP,2025-12-31,28220430.129298,0.042,0.418,59396124.26826,10410527.06406,38536301.647151,6494651.370933,3320050.603447,4.5,1.5,3161952.955664,33595750.153927,51381735.529535
B004,Dale Healthcare,Consumer,GB,GBP,2026-03-31,28773771.896539,0.044,0.426,60019783.573077,10566684.970021,37572894.105972,6670006.957948,3478148.25123,4.5,1.5,3161952.955664,33595750.153927,51381735.529535
B004,Dale Healthcare,Consumer,GB,GBP,2026-06-30,29327113.663781,0.046,0.434,60649991.300594,10725185.244571,36633571.753323,6850097.145813,3636245.899013,4.5,1.5,3161952.955664,33595750.153927,51381735.529535
B005,Elm Services,Logistics,GB,GBP,2025-09-30,33875742.200704,0.045,0.43,73289884.00605,16763697.304936,48393917.429577,7743026.788732,3871513.394366,4.5,1.5,3871513.394366,41134829.815141,62912092.658451
B005,Elm Services,Logistics,GB,GBP,2025-12-31,34553257.044718,0.047,0.438,75342000.758219,17434245.197134,47184069.493838,8300524.717521,4065089.064085,4.5,1.5,3871513.394366,41134829.815141,62912092.658451
B005,Elm Services,Logistics,GB,GBP,2026-03-31,35230771.888732,0.049,0.446,77451576.779449,18131615.005019,46004467.756492,8898162.497183,4258664.733803,4.5,1.5,3871513.394366,41134829.815141,62912092.658451
B005,Elm Services,Logistics,GB,GBP,2026-06-30,35908286.732746,0.051,0.454,79620220.929274,18856879.60522,44854356.06258,9538830.19698,4452240.403521,4.5,1.5,3871513.394366,41134829.815141,62912092.658451
B006,North Engineering 06,Industrials,GB,GBP,2025-09-30,12307255.238732,0.025,0.35,42042904.133858,8263540.141554,17581793.198189,2813086.91171,1406543.455855,4.5,1.5,1406543.455855,14944524.218461,22856331.157646
B006,North Engineering 06,Industrials,GB,GBP,2025-12-31,12553400.343507,0.027,0.358,37334098.870866,6941373.718905,18197155.960126,2002917.881138,1476870.628648,4.5,1.5,1406543.455855,14944524.218461,22856331.157646
B006,North Engineering 06,Industrials,GB,GBP,2026-03-31,12799545.448282,0.029,0.366,33152679.797329,5830753.92388,18834056.41873,1426077.53137,1547197.801441,4.5,1.5,1406543.455855,14944524.218461,22856331.157646
B006,North Engineering 06,Industrials,GB,GBP,2026-06-30,13045690.553056,0.031,0.374,29439579.660028,4897833.29606,19493248.393386,1015367.202335,1617524.974233,4.5,1.5,1406543.455855,14944524.218461,22856331.157646
B007,West Care 07,Healthcare,GB,GBP,2025-09-30,44105584.592757,0.03,0.37,87072337.899444,17919463.446856,63007977.989652,10081276.478344,5040638.239172,4.5,1.5,5040638.239172,53556781.291204,81910371.386548
B007,West Care 07,Healthcare,GB,GBP,2025-12-31,44987696.284612,0.032,0.378,82196286.977075,16485906.371108,65213257.21929,8629572.665463,5292670.151131,4.5,1.5,5040638.239172,53556781.291204,81910371.386548
B007,West Care 07,Healthcare,GB,GBP,2026-03-31,45869807.976467,0.034,0.386,77593294.906359,15167033.861419,67495721.221965,7386914.201636,5544702.063089,4.5,1.5,5040638.239172,53556781.291204,81910371.386548
B007,West Care 07,Healthcare,GB,GBP,2026-06-30,46751919.668322,0.036,0.394,73248070.391603,13953671.152506,69858071.464734,6323198.556601,5796733.975048,4.5,1.5,5040638.239172,53556781.291204,81910371.386548
B008,Oak Partners 08,Business services,GB,GBP,2025-09-30,33701996.547492,0.035,0.39,51589447.60974,12715961.174194,48145709.35356,7703313.49657,3851656.748285,4.5,1.5,3851656.748285,40923852.950526,62589422.159628
B008,Oak Partners 08,Business services,GB,GBP,2025-12-31,34376036.478442,0.037,0.398,50506069.209936,12334482.338968,46942066.619721,7287334.567755,4044239.585699,4.5,1.5,3851656.748285,40923852.950526,62589422.159628
B008,Oak Partners 08,Business services,GB,GBP,2026-03-31,35050076.409392,0.039,0.406,49445441.756527,11964447.868799,45768514.954228,6893818.501096,4236822.423113,4.5,1.5,3851656.748285,40923852.950526,62589422.159628
B008,Oak Partners 08,Business services,GB,GBP,2026-06-30,35724116.340341,0.041,0.414,48407087.47964,11605514.432735,44624302.080372,6521552.302037,4429405.260527,4.5,1.5,3851656.748285,40923852.950526,62589422.159628
B009,Brook Foods 09,Consumer,GB,GBP,2025-09-30,26256303.845901,0.04,0.41,83378762.280532,12786687.242779,37509005.494144,6001440.879063,3000720.439532,4.5,1.5,3000720.439532,31882654.670022,48761707.142387
B009,Brook Foods 09,Consumer,GB,GBP,2025-12-31,26781429.922819,0.042,0.418,84254239.284478,12978487.55142,36571280.35679,6163479.782798,3150756.461508,4.5,1.5,3000720.439532,31882654.670022,48761707.142387
B009,Brook Foods 09,Consumer,GB,GBP,2026-03-31,27306555.999737,0.044,0.426,85138908.796965,13173164.864692,35656998.347871,6329893.736933,3300792.483485,4.5,1.5,3000720.439532,31882654.670022,48761707.142387
B009,Brook Foods 09,Consumer,GB,GBP,2026-06-30,27831682.076655,0.046,0.434,86032867.339333,13370762.337662,34765573.389174,6500800.86783,3450828.505461,4.5,1.5,3000720.439532,31882654.670022,48761707.142387
B010,Vale Freight 10,Logistics,GB,GBP,2025-09-30,9898168.890965,0.045,0.43,28285282.434042,4200781.339594,14140241.272807,2262438.603649,1131219.301825,4.5,1.5,1131219.301825,12019205.081886,18382313.65465
B010,Vale Freight 10,Logistics,GB,GBP,2025-12-31,10096132.268784,0.047,0.438,29077270.342195,4368812.593177,13786735.240987,2425334.183112,1187780.266916,4.5,1.5,1131219.301825,12019205.081886,18382313.65465
B010,Vale Freight 10,Logistics,GB,GBP,2026-03-31,10294095.646604,0.049,0.446,29891433.911777,4543565.096905,13442066.859962,2599958.244296,1244341.232007,4.5,1.5,1131219.301825,12019205.081886,18382313.65465
B010,Vale Freight 10,Logistics,GB,GBP,2026-06-30,10492059.024423,0.051,0.454,30728394.061307,4725307.700781,13106015.188463,2787155.237885,1300902.197098,4.5,1.5,1131219.301825,12019205.081886,18382313.65465
B011,North Engineering 11,Industrials,GB,GBP,2025-09-30,36935716.14175,0.025,0.35,80857161.693086,19899041.925109,52765308.773928,8442449.403829,4221224.701914,4.5,1.5,4221224.701914,44850512.457839,68594901.406107
B011,North Engineering 11,Industrials,GB,GBP,2025-12-31,37674430.464585,0.027,0.358,71801159.583461,16715195.217092,54612094.581016,6011023.975526,4432285.93701,4.5,1.5,4221224.701914,44850512.457839,68594901.406107
B011,North Engineering 11,Industrials,GB,GBP,2026-03-31,38413144.78742,0.029,0.366,63759429.710113,14040763.982357,56523517.891351,4279849.070574,4643347.172106,4.5,1.5,4221224.701914,44850512.457839,68594901.406107
B011,North Engineering 11,Industrials,GB,GBP,2026-06-30,39151859.110255,0.031,0.374,56618373.58258,11794241.74518,58501841.017549,3047252.538249,4854408.407201,4.5,1.5,4221224.701914,44850512.457839,68594901.406107
B012,West Care 12,Healthcare,GB,GBP,2025-09-30,16379851.333261,0.03,0.37,52784477.952615,9836213.137977,23399787.618945,3743966.019031,1871983.009516,4.5,1.5,1871983.009516,19889819.476103,30419723.904628
B012,West Care 12,Healthcare,GB,GBP,2025-12-31,16707448.359927,0.032,0.378,49828547.187269,9049316.086939,24218780.185608,3204834.912291,1965582.159991,4.5,1.5,1871983.009516,19889819.476103,30419723.904628
B012,West Care 12,Healthcare,GB,GBP,2026-03-31,17035045.386592,0.034,0.386,47038148.544782,8325370.799984,25066437.492104,2743338.684921,2059181.310467,4.5,1.5,1871983.009516,19889819.476103,30419723.904628
B012,West Care 12,Healthcare,GB,GBP,2026-06-30,17362642.413257,0.036,0.394,44404012.226274,7659341.135985,25943762.804328,2348297.914292,2152780.460943,4.5,1.5,1871983.009516,19889819.476103,30419723.904628
B013,Oak Partners 13,Business services,GB,GBP,2025-09-30,11165026.500747,0.035,0.39,34744112.90016,6500088.156696,15950037.85821,2552006.057314,1276003.028657,4.5,1.5,1276003.028657,13557532.179478,20735049.215672
B013,Oak Partners 13,Business services,GB,GBP,2025-12-31,11388327.030762,0.037,0.398,34014486.529257,6305085.511995,15551286.911754,2414197.730219,1339803.18009,4.5,1.5,1276003.028657,13557532.179478,20735049.215672
B013,Oak Partners 13,Business services,GB,GBP,2026-03-31,11611627.560777,0.039,0.406,33300182.312143,6115932.946635,15162504.73896,2283831.052787,1403603.331522,4.5,1.5,1276003.028657,13557532.179478,20735049.215672
B013,Oak Partners 13,Business services,GB,GBP,2026-06-30,11834928.090791,0.041,0.414,32600878.483588,5932454.958236,14783442.120486,2160504.175936,1467403.482955,4.5,1.5,1276003.028657,13557532.179478,20735049.215672
B014,Brook Foods 14,Consumer,GB,GBP,2025-09-30,35221162.889216,0.04,0.41,75236049.601188,13727436.462338,50315946.984594,8050551.517535,4025275.758768,4.5,1.5,4025275.758768,42768554.936905,65410731.079972
B014,Brook Foods 14,Consumer,GB,GBP,2025-12-31,35925586.147,0.042,0.418,76026028.122001,13933348.009274,49058048.309979,8267916.408509,4226539.546706,4.5,1.5,4025275.758768,42768554.936905,65410731.079972
B014,Brook Foods 14,Consumer,GB,GBP,2026-03-31,36630009.404785,0.044,0.426,76824301.417282,14142348.229413,47831597.10223,8491150.151538,4427803.334644,4.5,1.5,4025275.758768,42768554.936905,65410731.079972
B014,Brook Foods 14,Consumer,GB,GBP,2026-06-30,37334432.662569,0.046,0.434,77630956.582163,14354483.452854,46635807.174674,8720411.20563,4629067.122583,4.5,1.5,4025275.758768,42768554.936905,65410731.079972
B015,Vale Freight 15,Logistics,GB,GBP,2025-09-30,33304392.220572,0.045,0.43,77519882.650169,12983339.790574,47577703.172245,7612432.507559,3806216.25378,4.5,1.5,3806216.25378,40441047.696408,61851014.123919
B015,Vale Freight 15,Logistics,GB,GBP,2025-12-31,33970480.064983,0.047,0.438,79690439.364373,13502673.382196,46388260.592939,8160527.648104,3996527.066469,4.5,1.5,3806216.25378,40441047.696408,61851014.123919
B015,Vale Freight 15,Logistics,GB,GBP,2026-03-31,34636567.909395,0.049,0.446,81921771.666576,14042780.317484,45228554.078116,8748085.638767,4186837.879158,4.5,1.5,3806216.25378,40441047.696408,61851014.123919
B015,Vale Freight 15,Logistics,GB,GBP,2026-06-30,35302655.753806,0.051,0.454,84215581.27324,14604491.530184,44097840.226163,9377947.804758,4377148.691847,4.5,1.5,3806216.25378,40441047.696408,61851014.123919
B016,North Engineering 16,Industrials,GB,GBP,2025-09-30,27172753.407253,0.025,0.35,85357326.81226,15065346.721381,38818219.153218,6210915.064515,3105457.532257,4.5,1.5,3105457.532257,32995486.280235,50463684.899184
B016,North Engineering 16,Industrials,GB,GBP,2025-12-31,27716208.475398,0.027,0.358,75797306.209287,12654891.24596,40176856.823581,4422171.525935,3260730.40887,4.5,1.5,3105457.532257,32995486.280235,50463684.899184
B016,North Engineering 16,Industrials,GB,GBP,2026-03-31,28259663.543543,0.029,0.366,67308007.913847,10630108.646607,41583046.812406,3148586.126465,3416003.285483,4.5,1.5,3105457.532257,32995486.280235,50463684.899184
B016,North Engineering 16,Industrials,GB,GBP,2026-06-30,28803118.611688,0.031,0.374,59769511.027496,8929291.26315,43038453.45084,2241793.322043,3571276.162096,4.5,1.5,3105457.532257,32995486.280235,50463684.899184
B017,West Care 17,Healthcare,GB,GBP,2025-09-30,18784344.077989,0.03,0.37,76187162.798123,11182012.590178,26834777.254269,4293564.360683,2146782.180342,4.5,1.5,2146782.180342,22809560.666129,34885210.43055
B017,West Care 17,Healthcare,GB,GBP,2025-12-31,19160030.959548,0.032,0.378,71920681.681428,10287451.582964,27773994.458169,3675291.092745,2254121.289359,4.5,1.5,2146782.180342,22809560.666129,34885210.43055
B017,West Care 17,Healthcare,GB,GBP,2026-03-31,19535717.841108,0.034,0.386,67893123.507268,9464455.456327,28746084.264205,3146049.175389,2361460.398376,4.5,1.5,2146782.180342,22809560.666129,34885210.43055
B017,West Care 17,Healthcare,GB,GBP,2026-06-30,19911404.722668,0.036,0.394,64091108.590861,8707299.019821,29752197.213452,2693018.094133,2468799.507393,4.5,1.5,2146782.180342,22809560.666129,34885210.43055
B018,Oak Partners 18,Business services,GB,GBP,2025-09-30,13366381.783688,0.035,0.39,25552170.231325,5734697.208446,19094831.119555,3055172.979129,1527586.489564,4.5,1.5,1527586.489564,16230606.451621,24823280.455421
B018,Oak Partners 18,Business services,GB,GBP,2025-12-31,13633709.419362,0.037,0.398,25015574.656468,5562656.292193,18617460.341566,2890193.638256,1603965.814043,4.5,1.5,1527586.489564,16230606.451621,24823280.455421
B018,Oak Partners 18,Business services,GB,GBP,2026-03-31,13901037.055036,0.039,0.406,24490247.588682,5395776.603427,18152023.833027,2734123.18179,1680345.138521,4.5,1.5,1527586.489564,16230606.451621,24823280.455421
B018,Oak Partners 18,Business services,GB,GBP,2026-06-30,14168364.69071,0.041,0.414,23975952.389319,5233903.305324,17698223.237201,2586480.529973,1756724.462999,4.5,1.5,1527586.489564,16230606.451621,24823280.455421
B019,Brook Foods 19,Consumer,GB,GBP,2025-09-30,35585016.033667,0.04,0.41,77887403.396975,17422437.279559,50835737.190953,8133717.950552,4066858.975276,4.5,1.5,4066858.975276,43210376.61231,66086458.348238
B019,Brook Foods 19,Consumer,GB,GBP,2025-12-31,36296716.35434,0.042,0.418,78705221.132643,17683773.838753,49564843.761179,8353328.335217,4270201.92404,4.5,1.5,4066858.975276,43210376.61231,66086458.348238
B019,Brook Foods 19,Consumer,GB,GBP,2026-03-31,37008416.675013,0.044,0.426,79531625.954536,17949030.446334,48325722.667149,8578868.200268,4473544.872804,4.5,1.5,4066858.975276,43210376.61231,66086458.348238
B019,Brook Foods 19,Consumer,GB,GBP,2026-06-30,37720116.995687,0.046,0.434,80366708.027059,18218265.903029,47117579.600471,8810497.641675,4676887.821568,4.5,1.5,4066858.975276,43210376.61231,66086458.348238
B020,Vale Freight 20,Logistics,GB,GBP,2025-09-30,15494497.388977,0.045,0.43,67655589.696467,9930192.462075,22134996.269967,3541599.403195,1770799.701597,4.5,1.5,1770799.701597,18814746.829472,28775495.150957
B020,Vale Freight 20,Logistics,GB,GBP,2025-12-31,15804387.336756,0.047,0.438,69549946.207968,10327400.160558,21581621.363217,3796594.560225,1859339.686677,4.5,1.5,1770799.701597,18814746.829472,28775495.150957
B020,Vale Freight 20,Logistics,GB,GBP,2026-03-31,16114277.284536,0.049,0.446,71497344.701791,10740496.166981,21042080.829137,4069949.368561,1947879.671757,4.5,1.5,1770799.701597,18814746.829472,28775495.150957
B020,Vale Freight 20,Logistics,GB,GBP,2026-06-30,16424167.232315,0.051,0.454,73499270.353441,11170116.01366,20516028.808409,4362985.723097,2036419.656837,4.5,1.5,1770799.701597,18814746.829472,28775495.150957
B021,North Engineering 21,Industrials,GB,GBP,2025-09-30,30709649.019435,0.025,0.35,75130222.134285,14014156.391155,43870927.170621,7019348.347299,3509674.17365,4.5,1.5,3509674.17365,37290288.095028,57032205.321807
B021,North Engineering 21,Industrials,GB,GBP,2025-12-31,31323841.999823,0.027,0.358,66715637.255245,11771891.368571,45406409.621593,4997776.023277,3685157.882332,4.5,1.5,3509674.17365,37290288.095028,57032205.321807
B021,North Engineering 21,Industrials,GB,GBP,2026-03-31,31938034.980212,0.029,0.366,59243485.882658,9888388.749599,46995633.958349,3558416.528573,3860641.591015,4.5,1.5,3509674.17365,37290288.095028,57032205.321807
B021,North Engineering 21,Industrials,GB,GBP,2026-06-30,32552227.960601,0.031,0.374,52608215.4638,8306246.549663,48640481.146891,2533592.568344,4036125.299697,4.5,1.5,3509674.17365,37290288.095028,57032205.321807
B022,West Care 22,Healthcare,GB,GBP,2025-09-30,36938046.909204,0.03,0.37,82374914.306202,16982922.926041,52768638.44172,8442982.150675,4221491.075338,4.5,1.5,4221491.075338,44853342.675462,68599229.974236
B022,West Care 22,Healthcare,GB,GBP,2025-12-31,37676807.847388,0.032,0.378,77761919.105055,15624289.091958,54615540.78718,7227192.720978,4432565.629105,4.5,1.5,4221491.075338,44853342.675462,68599229.974236
B022,West Care 22,Healthcare,GB,GBP,2026-03-31,38415568.785572,0.034,0.386,73407251.635172,14374345.964601,56527084.714732,6186476.969157,4643640.182871,4.5,1.5,4221491.075338,44853342.675462,68599229.974236
B022,West Care 22,Healthcare,GB,GBP,2026-06-30,39154329.723756,0.036,0.394,69296445.543602,13224398.287433,58505532.679747,5295624.285599,4854714.736638,4.5,1.5,4221491.075338,44853342.675462,68599229.974236
B023,Oak Partners 23,Business services,GB,GBP,2025-09-30,16082205.131863,0.035,0.39,66940537.055906,11143859.753569,22974578.759805,3675932.601569,1837966.300784,4.5,1.5,1837966.300784,19528391.945834,29866952.387746
B023,Oak Partners 23,Business services,GB,GBP,2025-12-31,16403849.234501,0.037,0.398,65534785.777732,10809543.960962,22400214.29081,3477432.241084,1929864.615824,4.5,1.5,1837966.300784,19528391.945834,29866952.387746
B023,Oak Partners 23,Business services,GB,GBP,2026-03-31,16725493.337138,0.039,0.406,64158555.2764,10485257.642133,21840208.933539,3289650.900066,2021762.930863,4.5,1.5,1837966.300784,19528391.945834,29866952.387746
B023,Oak Partners 23,Business services,GB,GBP,2026-06-30,17047137.439775,0.041,0.414,62811225.615595,10170699.912869,21294203.710201,3112009.751462,2113661.245902,4.5,1.5,1837966.300784,19528391.945834,29866952.387746
B024,Brook Foods 24,Consumer,GB,GBP,2025-09-30,17737925.173012,0.04,0.41,57753804.192427,8995164.286221,25339893.104303,4054382.896689,2027191.448344,4.5,1.5,2027191.448344,21538909.138658,32941861.035594
B024,Brook Foods 24,Consumer,GB,GBP,2025-12-31,18092683.676473,0.042,0.418,58360219.136448,9130091.750515,24706395.776696,4163851.234899,2128551.020761,4.5,1.5,2027191.448344,21538909.138658,32941861.035594
B024,Brook Foods 24,Consumer,GB,GBP,2026-03-31,18447442.179933,0.044,0.426,58973001.43738,9267043.126772,24088735.882278,4276275.218241,2229910.593179,4.5,1.5,2027191.448344,21538909.138658,32941861.035594
B024,Brook Foods 24,Consumer,GB,GBP,2026-06-30,18802200.683393,0.046,0.434,59592217.952473,9406048.773674,23486517.485221,4391734.649134,2331270.165596,4.5,1.5,2027191.448344,21538909.138658,32941861.035594
B025,Vale Freight 25,Logistics,GB,GBP,2025-09-30,20845411.021365,0.045,0.43,89005230.495112,14069300.507727,29779158.60195,4764665.376312,2382332.688156,4.5,1.5,2382332.688156,25312284.811657,38712906.182534
B025,Vale Freight 25,Logistics,GB,GBP,2025-12-31,21262319.241792,0.047,0.438,91497376.948976,14632072.528036,29034679.636901,5107721.283406,2501449.322564,4.5,1.5,2382332.688156,25312284.811657,38712906.182534
B025,Vale Freight 25,Logistics,GB,GBP,2026-03-31,21679227.462219,0.049,0.446,94059303.503547,15217355.429157,28308812.645978,5475477.215812,2620565.956972,4.5,1.5,2382332.688156,25312284.811657,38712906.182534
B025,Vale Freight 25,Logistics,GB,GBP,2026-06-30,22096135.682647,0.051,0.454,96692964.001646,15826049.646324,27601092.329829,5869711.57535,2739682.591379,4.5,1.5,2382332.688156,25312284.811657,38712906.182534
B026,North Engineering 26,Industrials,GB,GBP,2025-09-30,17724176.914749,0.025,0.35,46103791.90165,7617787.208618,25320252.735356,4051240.437657,2025620.218828,4.5,1.5,2025620.218828,21522214.825053,32916328.555963
B026,North Engineering 26,Industrials,GB,GBP,2025-12-31,18078660.453044,0.027,0.358,40940167.208665,6398941.255239,26206461.581094,2884483.191612,2126901.22977,4.5,1.5,2025620.218828,21522214.825053,32916328.555963
B026,North Engineering 26,Industrials,GB,GBP,2026-03-31,18433143.991339,0.029,0.366,36354868.481294,5375110.654401,27123687.736432,2053752.032428,2228182.240711,4.5,1.5,2025620.218828,21522214.825053,32916328.555963
B026,North Engineering 26,Industrials,GB,GBP,2026-06-30,18787627.529634,0.031,0.374,32283123.21139,4515092.949697,28073016.807207,1462271.447088,2329463.251653,4.5,1.5,2025620.218828,21522214.825053,32916328.555963
B027,West Care 27,Healthcare,GB,GBP,2025-09-30,34863596.239104,0.03,0.37,66777411.425596,14962666.672362,49805137.484434,7968821.99751,3984410.998755,4.5,1.5,3984410.998755,42334366.861769,64746678.729765
B027,West Care 27,Healthcare,GB,GBP,2025-12-31,35560868.163886,0.032,0.378,63037876.385762,13765653.338573,51548317.29639,6821311.629868,4183631.548692,4.5,1.5,3984410.998755,42334366.861769,64746678.729765
B027,West Care 27,Healthcare,GB,GBP,2026-03-31,36258140.088668,0.034,0.386,59507755.30816,12664401.071487,53352508.401763,5839042.755167,4382852.09863,4.5,1.5,3984410.998755,42334366.861769,64746678.729765
B027,West Care 27,Healthcare,GB,GBP,2026-06-30,36955412.01345,0.036,0.394,56175321.010903,11651248.985768,55219846.195825,4998220.598423,4582072.648568,4.5,1.5,3984410.998755,42334366.861769,64746678.729765
B028,Oak Partners 28,Business services,GB,GBP,2025-09-30,20637025.523792,0.035,0.39,55479014.608005,12631597.756493,29481465.033988,4717034.405438,2358517.202719,4.5,1.5,2358517.202719,25059245.27889,38325904.544184
B028,Oak Partners 28,Business services,GB,GBP,2025-12-31,21049766.034267,0.037,0.398,54313955.301237,12252649.823798,28744428.408138,4462314.547544,2476443.062855,4.5,1.5,2358517.202719,25059245.27889,38325904.544184
B028,Oak Partners 28,Business services,GB,GBP,2026-03-31,21462506.544743,0.039,0.406,53173362.239911,11885070.329084,28025817.697935,4221349.561977,2594368.922991,4.5,1.5,2358517.202719,25059245.27889,38325904.544184
B028,Oak Partners 28,Business services,GB,GBP,2026-06-30,21875247.055219,0.041,0.414,52056721.632873,11528518.219212,27325172.255486,3993396.68563,2712294.783127,4.5,1.5,2358517.202719,25059245.27889,38325904.544184
B029,Brook Foods 29,Consumer,GB,GBP,2025-09-30,9066482.399476,0.04,0.41,26703405.48504,3759992.857777,12952117.713538,2072338.834166,1036169.417083,4.5,1.5,1036169.417083,11009300.056507,16837753.027599
B029,Brook Foods 29,Consumer,GB,GBP,2025-12-31,9247812.047466,0.042,0.418,26983791.242632,3816392.750644,12628314.770699,2128291.982689,1087977.887937,4.5,1.5,1036169.417083,11009300.056507,16837753.027599
B029,Brook Foods 29,Consumer,GB,GBP,2026-03-31,9429141.695455,0.044,0.426,27267121.05068,3873638.641904,12312606.901432,2185755.866221,1139786.358791,4.5,1.5,1036169.417083,11009300.056507,16837753.027599
B029,Brook Foods 29,Consumer,GB,GBP,2026-06-30,9610471.343445,0.046,0.434,27553425.821712,3931743.221532,12004791.728896,2244771.274609,1191594.829645,4.5,1.5,1036169.417083,11009300.056507,16837753.027599
B030,Vale Freight 30,Logistics,GB,GBP,2025-09-30,18718796.090698,0.045,0.43,59640792.268854,8907508.195612,26741137.272426,4278581.963588,2139290.981794,4.5,1.5,2139290.981794,22729966.681562,34763478.454154
B030,Vale Freight 30,Logistics,GB,GBP,2025-12-31,19093172.012512,0.047,0.438,61310734.452382,9263808.523436,26072608.840616,4586639.864967,2246255.530884,4.5,1.5,2139290.981794,22729966.681562,34763478.454154
B030,Vale Freight 30,Logistics,GB,GBP,2026-03-31,19467547.934326,0.049,0.446,63027435.017049,9634360.864374,25420793.6196,4916877.935244,2353220.079974,4.5,1.5,2139290.981794,22729966.681562,34763478.454154
B030,Vale Freight 30,Logistics,GB,GBP,2026-06-30,19841923.85614,0.051,0.454,64792203.197526,10019735.298948,24785273.77911,5270893.146582,2460184.629063,4.5,1.5,2139290.981794,22729966.681562,34763478.454154
B031,North Engineering 31,Industrials,GB,GBP,2025-09-30,15748550.495316,0.025,0.35,36423407.703488,7778526.311098,22497929.279023,3599668.684644,1799834.342322,4.5,1.5,1799834.342322,19123239.88717,29247308.06273
B031,North Engineering 31,Industrials,GB,GBP,2025-12-31,16063521.505222,0.027,0.358,32343986.040697,6533962.101322,23285356.803789,2562964.103466,1889826.059438,4.5,1.5,1799834.342322,19123239.88717,29247308.06273
B031,North Engineering 31,Industrials,GB,GBP,2026-03-31,16378492.515129,0.029,0.366,28721459.604139,5488528.16511,24100344.291921,1824830.441668,1979817.776554,4.5,1.5,1799834.342322,19123239.88717,29247308.06273
B031,North Engineering 31,Industrials,GB,GBP,2026-06-30,16693463.525035,0.031,0.374,25504656.128475,4610363.658693,24943856.342139,1299279.274468,2069809.49367,4.5,1.5,1799834.342322,19123239.88717,29247308.06273
B032,West Care 32,Healthcare,GB,GBP,2025-09-30,20321162.907868,0.03,0.37,53576591.957236,8903435.774895,29030232.725525,4644837.236084,2322418.618042,4.5,1.5,2322418.618042,24675697.816697,37739302.543183
B032,West Care 32,Healthcare,GB,GBP,2025-12-31,20727586.166025,0.032,0.378,50576302.807631,8191160.912903,30046290.870919,3975980.674088,2438539.548944,4.5,1.5,2322418.618042,24675697.816697,37739302.543183
